Mononoke Hime,Movie (1 eps),Jul 1997 - Jul 1997,"1,195,018 members",https://myanimelist.net/anime/164/Mononoke_Hime,https://cdn.myanimelist.net/r/100x140/images/anime/7/75919.jpg?s=ec4a31ebc5b430efe3ed391d96c228a3,8.67
Made in Abyss,TV (13 eps),Jul 2017 - Sep 2017,"1,300,823 members",https://myanimelist.net/anime/34599/Made_in_Abyss,https://cdn.myanimelist.net/r/100x140/images/anime/6/86733.jpg?s=ff773aca2bed4fe79efd6a5b6ff0e911,8.66
Made in Abyss: Retsujitsu no Ougonkyou,TV (12 eps),Jul 2022 - Sep 2022,"389,536 members",https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou,https://cdn.myanimelist.net/r/100x140/images/anime/1864/122519.jpg?s=bc65b762aa0a5e87fdc0f8bc132278ed,8.66
Mushishi,TV (26 eps),Oct 2005 - Jun 2006,"796,403 members",https://myanimelist.net/anime/457/Mushishi,https://cdn.myanimelist.net/r/100x140/images/anime/2/73862.jpg?s=bd3f3140d4768f5f31ac5d5539056068,8.66
Hajime no Ippo: New Challenger,TV (26 eps),Jan 2009 - Jul 2009,"269,031 members",https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger,https://cdn.myanimelist.net/r/100x140/images/anime/8/56617.jpg?s=c9e62681de46d5ec39a4c9cc8f222e97,8.66
Howl no Ugoku Shiro,Movie (1 eps),Nov 2004 - Nov 2004,"1,259,785 members",https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro,https://cdn.myanimelist.net/r/100x140/images/anime/5/75810.jpg?s=a6c1acf59965f7e50ac637d018a734f0,8.66
Shigatsu wa Kimi no Uso,TV (22 eps),Oct 2014 - Mar 2015,"2,119,560 members",https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso,https://cdn.myanimelist.net/r/100x140/images/anime/3/67177.jpg?s=4864d877e3763400abe924cb27b82cc2,8.65
Natsume Yuujinchou Shi,TV (13 eps),Jan 2012 - Mar 2012,"236,993 members",https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi,https://cdn.myanimelist.net/r/100x140/images/anime/3/37449.jpg?s=5feb674d132cc807e2fb1bb2a8689e62,8.64
Jujutsu Kaisen,TV (24 eps),Oct 2020 - Mar 2021,"2,272,130 members",https://myanimelist.net/anime/40748/Jujutsu_Kaisen,https://cdn.myanimelist.net/r/100x140/images/anime/1171/109222.jpg?s=d5f93547fb6fd4d63dffe58223c77723,8.64
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV (12 eps),Apr 2020 - Jun 2020,"1,264,927 members",https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen,https://cdn.myanimelist.net/r/100x140/images/anime/1764/106659.jpg?s=31550f89f62679c9820095853bb522a6,8.64
Haikyuu!! Second Season,TV (25 eps),Oct 2015 - Mar 2016,"1,365,742 members",https://myanimelist.net/anime/28891/Haikyuu_Second_Season,https://cdn.myanimelist.net/r/100x140/images/anime/9/76662.jpg?s=2ddc449aaa90570dc965ba6d9d348ebc,8.63
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA (14 eps),Dec 2022 - Dec 2022,"153,787 members",https://myanimelist.net/anime/53273/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean_Part_3,https://cdn.myanimelist.net/r/100x140/images/anime/1233/128920.jpg?s=3f550386cd09d405d1e2e1cb0da59fb0,8.63
Tengen Toppa Gurren Lagann,TV (27 eps),Apr 2007 - Sep 2007,"1,552,258 members",https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann,https://cdn.myanimelist.net/r/100x140/images/anime/4/5123.jpg?s=f9c94dd8af74f4a64e1b814391632263,8.63
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie (1 eps),Jan 2020 - Jan 2020,"426,072 members",https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei,https://cdn.myanimelist.net/r/100x140/images/anime/1502/110723.jpg?s=e772b96e543983ab2b0da44ce2b17650,8.63
Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie (1 eps),Oct 2020 - Oct 2020,"1,413,641 members",https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen,https://cdn.myanimelist.net/r/100x140/images/anime/1704/106947.jpg?s=4aa86a2d3328e85a384df4248126cfdb,8.62
Natsume Yuujinchou Roku,TV (11 eps),Apr 2017 - Jun 2017,"178,488 members",https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku,https://cdn.myanimelist.net/r/100x140/images/anime/6/84416.jpg?s=a98aa65fd3b3ee0e3dca65b46ea34fb4,8.62
